Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day),Score
Malta,2015,100.0,100.0,99.69257030128702,87.88079366006932,16.124307229326092,85.65281718831523,71.45948205730815,59.16932564686955,43.5546611719848,42.07324007733425,85.94784353059177,28.809523809523814,64.3234552505291,7.728557964184745,100.0,69.9029126213592,67.74193548387098,96.80775843532312,92.1601656015066,47.53521126760563,85.14405674043861,74.19908744985051
Malta,2016,100.0,100.0,99.64029839286032,86.92119588425939,16.124307229326092,89.62754361763712,73.31420048811353,63.8965008714305,42.67605769415934,47.040259297168205,88.29488465396189,29.761904761904763,64.88990133366559,7.697141061891301,100.0,71.35922330097085,69.35483870967741,96.80775843532312,93.88688824325432,46.83098591549296,85.14405674043861,75.25486550273304
Malta,2017,100.0,100.0,99.58832180595012,86.92119588425939,8.946967905822135,88.8599017933085,74.20399078007772,60.63225633462932,41.88050029848446,51.461389741840094,90.58508859913071,27.738095238095244,65.46395094674531,7.665724159597858,100.0,70.87378640776697,67.74193548387098,93.89347021557242,92.1601656015066,46.478873239436616,85.14405674043861,74.74180880057577
Malta,2018,100.0,100.0,99.53634521904,86.9210835060212,6.928827260561064,88.16302024887602,73.84581487842357,62.490414264646745,41.85233684453772,58.6688274764017,91.73520561685056,26.190476190476197,66.04581099798996,7.665724159597858,100.0,73.30097087378638,69.35483870967741,93.89347021557242,92.1601656015066,45.42253521126759,88.52286057045063,75.29862962697628
Malta,2019,100.0,100.0,99.48407331061324,86.9210835060212,0.7073640296006545,91.09135223609633,72.89614028744464,63.70719935648211,38.4260239942999,62.02661207778917,91.87562688064192,24.52380952380953,67.23383333816378,7.665724159597858,100.0,62.13592233009706,62.903225806451616,91.21258493228656,87.63631241238845,46.12676056338028,85.14405674043861,73.71977531528046
Malta,2020,100.0,100.0,99.4320967237031,86.9210835060212,0.0,87.08231779227924,72.43401428184036,55.48089556240784,35.122474917676044,65.4497896053679,89.4316282179873,27.738095238095244,67.84045420495279,7.634307257304442,100.0,60.19417475728153,59.67741935483872,88.73047284868001,83.84960624406546,46.12676056338028,88.52286057045063,72.80934248701084
Montenegro,2012,36.14864864864866,86.79245283018872,54.058603601741225,29.931494226006123,36.92636056785847,45.64395428457067,44.0449019253367,34.84113151897037,40.58137071771071,12.981917434322751,37.7398863256436,22.02380952380953,71.67281262728788,63.05372290292175,100.0,12.621359223300942,3.225806451612911,36.79602555100823,20.36665049127106,16.901408450704224,27.16432262913912,36.42790693932235
Montenegro,2013,35.64189189189189,94.33962264150956,54.32380232358969,32.3576280100511,37.4805701594334,47.00340935894042,45.28382897948116,34.841131518970364,42.29620642544921,13.73535767087455,38.485456369107325,20.95238095238096,75.15164464115685,62.11121583411875,100.0,23.300970873786383,14.516129032258078,38.89003148619789,21.3815553433972,20.774647887323937,35.057760366756014,39.14943683647865
Montenegro,2014,35.47297297297297,56.60377358490564,54.58841040240512,34.7533072915496,38.582925011663264,45.922706902343634,47.03290246768508,34.84113151897037,44.00635678972398,21.346525645399737,43.60414577064528,21.547619047619047,78.15400376233242,61.16870876531573,100.0,24.271844660194176,12.903225806451616,46.77144993077939,23.29315141983723,19.718309859154928,37.94189207174352,40.00543306185663
Montenegro,2015,34.797297297297305,90.56603773584902,54.85154187363784,37.118644448739786,35.81180241521216,47.80535919776423,49.388163246858895,35.542718140231734,45.71650715399872,23.6494939156147,45.272484119023744,21.547619047619047,81.3831638343105,60.2262016965127,100.0,23.300970873786383,14.516129032258078,48.887512623987455,24.447296713856048,21.126760563380277,40.97399124818115,41.72471736373179
Montenegro,2016,35.135135135135144,92.45283018867916,55.11349205880441,39.45330234690712,41.30411474463384,47.37007626385719,51.67789026484678,35.552967880535896,43.23956748637562,25.69089048106449,44.68070879304581,21.547619047619047,83.97583968785884,59.28369462770971,100.0,25.728155339805795,14.516129032258078,51.146335974992965,28.95165463508461,22.535211267605614,29.68014800884129,42.28437330164754
Montenegro,2017,35.135135135135144,100.0,55.37426095790488,41.75739336428979,41.30411474463384,48.39860194840935,54.00603362559883,35.57879705648356,45.08993048200426,25.963834868645502,50.197258441992645,20.83333333333333,85.79594645857071,58.372604461200126,100.0,33.49514563106794,14.516129032258078,42.29905818206668,29.96731584867159,21.830985915492946,27.16432262913912,42.96689296066451
Montenegro,2018,35.38851351351352,100.0,55.56474333606997,44.02743377550423,41.30411474463384,56.97560557219333,56.6624107384977,35.49623432449747,50.677367174411216,29.50073922438304,53.17953861584755,21.547619047619047,88.68014391848047,57.46151429469055,100.0,33.98058252427185,16.129032258064527,46.77144993077939,27.872753894310375,19.366197183098592,37.94189207174352,45.09660117919239
