Economy,Year,GDP (annual % growth),Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Government Effectiveness: Estimate,Regulatory Quality: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Scientific and technical journal articles,Control of Corruption: Estimate,Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate
Denmark,2017,3.0565,97.1,37.4302,87.4756,1.0029,1.7468,1.6122,4.91,1.5181,1490.0,2.9312,14654.73,2.1907,24561.0,0.8549,1.8043
Denmark,2018,1.86,97.3,37.4302,87.0069,0.9998,1.8106,1.6284,4.91,1.574,1262.0,2.966,14802.91,2.157,18919.0,0.932,1.7732
Denmark,2019,1.7114,98.0,39.1061,86.7499,0.9956,1.8733,1.5476,4.91,1.5434,1351.0,2.8969,15073.24,2.1216,9488.0,0.9676,1.8334
Denmark,2020,-1.7801,96.5,39.6648,86.9964,0.9969,1.8401,1.7857,4.91,1.5148,1261.0,2.9726,15427.2,2.2365,10851.0,0.9202,1.8068
Spain,2012,-2.8651,69.8,36.0,79.9308,1.0014,1.0572,0.9472,4.97,1.0642,3266.0,1.2988,54679.57,1.1704,-153486.0,-0.0295,1.0378
Spain,2013,-1.4273,71.6,36.0,80.4027,1.0069,1.1677,0.9327,4.97,0.9888,3026.0,1.2748,54727.56,0.927,-250741.0,0.012,1.0254
Spain,2014,1.5205,76.2,39.7143,80.8157,1.0071,1.1733,0.7465,4.97,0.9937,2953.0,1.2416,56177.8,0.6892,-97870.0,0.2431,0.9665
Spain,2015,4.0609,78.7,41.1429,81.0586,1.0045,1.1573,0.7915,4.97,1.0449,2799.0,1.2218,55305.66,0.631,-1979.0,0.2412,0.8861
Spain,2016,2.9152,80.6,39.1429,81.4289,1.0102,1.0949,0.9965,4.97,1.0416,2745.0,1.1899,55591.05,0.5698,106474.0,0.4022,0.9654
Spain,2017,2.896,84.6,39.1429,81.5502,1.0156,1.0013,0.9308,4.97,1.0215,2167.0,1.2098,55884.36,0.5103,201135.0,0.2708,1.0244
Spain,2018,2.3954,86.1,39.1429,81.4343,1.0169,0.9692,0.9382,4.97,1.0296,1525.0,1.2415,57270.34,0.6128,337467.0,0.2759,0.9781
Spain,2019,1.9612,90.7,44.0,81.9421,1.0218,0.9688,1.0373,4.97,1.036,1288.0,1.2502,60307.51,0.6664,464783.0,0.2928,0.9902
Spain,2020,-10.9401,93.2,44.0,81.9103,1.0207,0.8539,0.7554,4.97,1.004,1431.0,1.4091,65541.7,0.7118,236854.0,0.4114,0.861
Estonia,2012,3.672,78.4,20.7921,81.1833,0.9923,0.9459,1.4103,4.88,1.1119,20.0,2.1248,1497.43,1.0883,-3674.0,0.6365,1.1509
Estonia,2013,1.7565,80.0,20.7921,81.0442,0.9921,0.9668,1.4392,4.87,1.1168,25.0,1.7241,1450.11,1.1814,-2688.0,0.7482,1.1914
Estonia,2014,3.3228,84.2,19.0,79.2813,0.9939,1.0112,1.6706,4.87,1.1703,44.0,1.4302,1687.96,1.2988,-674.0,0.7803,1.3699
Estonia,2015,1.8382,88.4,23.7624,80.8467,0.9978,1.0359,1.6583,4.87,1.1869,30.0,1.4678,1544.89,1.2554,4261.0,0.6139,1.3005
